bike_name,price,city,kms_driven,owner,age,power,brand
204,114,3,79,1,9,39,4
205,11,4,175,1,1,10,6
63,118,8,299,1,14,5,4
206,266,77,40,2,6,40,13
207,267,92,226,1,2,41,3
29,233,12,74,1,10,5,5
2,17,11,300,1,6,2,2
98,268,19,123,1,2,27,8
208,114,70,301,1,1,38,18
209,1,4,142,1,7,5,7
2,56,2,103,1,2,2,2
81,43,39,11,1,3,7,6
116,269,2,159,1,1,2,2
2,62,2,5,1,2,2,2
2,270,2,229,1,1,2,2
56,271,3,302,1,7,9,4
27,78,3,303,1,2,13,7
210,272,3,304,1,7,32,16
6,273,2,305,1,1,5,4
2,100,2,306,1,4,2,2
120,52,2,307,1,2,7,7
27,141,2,67,1,4,13,7
25,36,3,308,1,9,5,7
211,139,2,10,1,10,5,4
120,274,2,309,1,11,7,7
102,275,3,83,1,6,10,10
212,43,8,80,1,3,7,1
16,16,4,281,1,1,10,7
154,204,4,310,1,7,6,5
25,68,3,311,1,6,5,7
115,276,2,78,1,2,26,7
2,61,4,11,1,1,2,2
90,113,2,44,1,2,13,7
195,29,2,138,1,1,4,7
14,153,3,312,1,5,7,7
57,277,2,24,1,1,7,7
8,278,2,74,1,1,7,6
42,99,2,313,1,4,6,1
43,28,93,314,1,6,11,5
213,115,4,104,1,4,9,14
214,279,4,78,1,1,17,12
172,204,2,137,1,7,6,1
25,255,3,315,1,10,5,7
94,280,49,108,1,1,5,4
197,52,10,37,1,5,5,5
81,43,2,149,1,3,7,6
18,281,2,76,1,4,5,8
62,282,2,44,2,6,13,7
2,203,94,316,1,4,2,2
38,8,31,317,1,6,5,6
66,18,2,88,1,6,5,7
66,283,2,26,1,6,5,7
187,284,39,318,1,12,20,7
176,113,65,319,1,6,5,7
54,8,58,320,1,3,18,6
66,8,2,64,1,6,5,7
215,285,10,151,1,10,7,6
197,286,2,87,1,3,5,5
75,72,2,321,1,6,8,2
113,29,2,322,2,6,10,1
54,287,11,103,1,6,18,6
133,33,3,323,1,3,8,2
17,12,11,2,1,4,10,7
63,36,64,27,1,13,5,4
2,135,2,88,1,6,2,2
197,28,6,324,1,5,5,5
45,210,31,325,1,5,1,5
17,288,17,210,1,2,10,7
175,36,2,64,1,3,11,6
66,91,42,140,1,2,5,7
71,289,95,326,2,2,10,7
122,183,2,104,1,6,2,2
216,290,2,176,1,1,10,1
176,291,2,186,1,6,5,7
134,261,6,327,1,2,2,2
217,292,34,26,1,8,7,6
90,65,3,328,1,2,13,7
61,139,49,297,1,9,20,7
13,293,31,329,1,2,10,7
179,7,62,49,1,2,5,8
47,294,39,129,1,2,5,8
66,18,77,330,1,6,5,7
2,17,28,331,1,4,2,2
2,17,10,332,1,2,2,2
51,50,64,333,1,10,7,6
8,295,96,334,1,7,7,6
81,296,97,137,1,6,7,6
27,4,4,11,1,5,13,7
102,33,39,142,1,4,10,10
128,29,98,6,1,6,10,7
48,71,29,295,1,2,13,7
147,57,99,142,1,3,1,6
127,57,100,186,1,6,7,1
12,183,31,335,1,2,9,4
115,53,31,187,1,2,26,7
133,297,62,118,1,2,8,2
197,219,2,336,1,5,5,5
71,298,2,138,1,4,10,7
71,299,2,5,1,4,10,7
71,5,4,123,1,4,10,7
218,16,101,78,1,1,5,8
103,251,6,181,1,3,11,7
35,300,6,337,1,10,2,2
122,33,29,74,1,2,2,2
194,301,102,338,1,5,7,7
219,302,2,76,1,1,33,4
115,303,31,138,1,1,26,7
25,77,31,339,1,2,5,7
17,33,3,159,1,4,10,7
75,17,4,149,1,5,8,2
220,304,70,340,1,1,34,1
11,181,2,37,2,4,5,4
147,126,103,341,1,4,1,6
89,162,2,142,1,5,5,7
89,117,3,297,1,10,5,7
221,22,49,210,1,13,7,6
43,119,2,342,1,1,11,5
216,16,2,343,1,1,10,1
222,305,3,344,1,1,2,2
34,81,3,64,1,2,2,2
94,12,31,345,1,1,5,4
66,306,12,6,1,2,5,7
42,28,2,346,1,6,6,1
115,61,1,6,1,1,26,7
31,39,104,26,1,10,5,5
2,307,2,137,1,6,2,2
43,36,8,154,1,14,11,5
82,308,100,26,1,10,7,6
2,280,3,6,1,4,2,2
42,77,3,11,1,4,6,1
130,28,81,347,1,6,1,5
223,117,19,151,1,11,5,6
179,309,11,348,1,2,5,8
69,115,62,97,1,6,14,10
78,310,105,349,1,7,6,1
224,311,49,350,1,2,5,4
225,312,2,351,1,6,6,5
226,251,106,351,1,10,5,8
227,105,4,352,1,13,8,2
12,7,2,88,1,2,9,4
228,57,3,353,1,11,5,6
229,313,12,5,1,2,5,4
11,314,1,354,1,2,5,4
134,7,107,355,3,4,2,2
187,22,1,356,1,14,20,7
228,315,28,83,1,11,5,6
47,39,108,357,1,4,5,8
11,65,2,28,1,6,5,4
5,316,6,358,2,2,5,4
113,317,2,359,1,6,10,1
22,4,2,24,1,1,5,4
203,318,4,360,1,5,9,14
230,319,109,281,1,6,4,1
43,162,1,361,1,3,11,5
2,61,2,126,1,1,2,2
17,105,19,82,1,2,10,7
42,320,2,83,1,11,6,1
231,179,4,362,1,11,7,6
205,106,6,363,1,7,10,6
11,65,2,88,1,4,5,4
33,148,110,364,1,7,10,10
25,8,4,83,1,4,5,7
155,200,2,74,1,1,1,5
42,321,8,29,1,5,6,1
89,285,10,365,1,5,5,7
187,322,2,366,1,9,20,7
94,323,2,367,1,1,5,4
2,72,2,74,1,1,2,2
184,92,31,226,1,2,6,5
124,219,2,103,1,2,7,7
71,324,2,88,1,4,10,7
62,139,101,37,1,14,13,7
232,33,32,368,1,2,5,5
102,62,66,6,1,5,10,10
120,325,2,369,1,14,7,7
34,326,111,72,1,1,2,2
233,179,100,6,2,4,11,6
234,22,112,11,1,11,10,7
2,56,19,6,1,4,2,2
103,327,113,11,1,10,11,7
115,148,3,108,1,1,26,7
2,328,2,176,1,2,2,2
119,99,114,226,1,6,1,6
34,104,2,142,1,6,2,2
66,24,115,123,1,6,5,7
2,329,49,370,1,6,2,2
212,220,39,371,1,6,7,1
122,330,2,88,1,4,2,2
71,59,3,372,1,6,10,7
175,8,36,373,1,6,11,6
25,331,2,374,1,14,5,7
235,332,2,375,1,2,23,12
236,333,32,49,1,7,23,12
2,17,1,73,1,4,2,2
43,119,1,376,1,2,11,5
237,84,2,142,1,1,5,7
88,27,116,377,1,7,19,2
238,139,10,378,1,10,7,6
45,22,10,379,1,10,1,5
115,334,4,49,1,7,26,7
34,335,4,36,1,6,2,2
2,183,2,67,1,4,2,2
225,8,2,123,1,6,6,5
133,16,2,78,1,3,8,2
28,53,117,87,1,4,14,10
239,8,118,380,1,2,5,6
132,1,6,26,2,6,5,4
240,13,2,214,1,1,10,1
103,336,100,149,1,3,11,7
25,337,100,149,1,3,5,7
